restaurant_name,locality,address,cuisines_0,cuisines_1,cuisines_2,cuisines_3,cuisines_4,cuisines_5,cuisines_6,cuisines_7
Gyani Da Punjabi Dhaba,BTM,16 1st Floor Citi Bank ATM Building 100 Feet Road 20th Main 2nd Stage BTM Bangalore,North Indian, Chinese, , , , , , 
URU Brewpark,JP Nagar,Maratt Estate 4th Phase Near Maratt Pimento JP Nagar Bangalore,Italian, North Indian, Continental, Chinese, Asian, Desserts, , 
Nagarjuna,Bannerghatta Road,174/1 Bannerghatta Main Road Bannerghatta Road Bangalore,Andhra, Biryani, , , , , , 
Street Storyss,Indiranagar,3155 HAL 2nd stage Indiranagar Bangalore,Fast Food, North Indian, Pizza, Beverages, Desserts, , , 
Yo! Chow,Marathahalli,90/3 Sri Sapthagiri Complex Oppsite Innovative Multiplex Outer Ring Road Marathahalli Bangalore,Chinese, Momos, Thai, , , , , 
Dr. Sheesha,JP Nagar,17/17 Deepa Plaza 24th Main Road 1st Phase JP Nagar Bangalore,Chinese, North Indian, Fast Food, Italian, Beverages, , , 
Third Wave Coffee Roasters,Bellandur,571/630/6/4 Survey 6/4 Ground Floor Indiqube Edge Outer Ring Road Ambalipura Bellandur Bangalore,Cafe, Fast Food, Desserts, Beverages, , , , 
Cuppa Redefined,HSR,2734 16th Cross 27th Main Road 1st Sector Main Gate Opposite NIFT College HSR Bangalore,Cafe, Burger, Sandwich, Healthy Food, , , , 
Ranganna Military Hotel,Jayanagar,61 1st Floor KR Road 7th Block Jayanagar Bangalore,South Indian, North Indian, Mughlai, , , , , 
Easy Bites,BTM,1 100 Feet Ring Road 1st Phase 2nd Stage BTM Bangalore,Fast Food, Sandwich, , , , , , 
Attica Biriyani Corner,Vijay Nagar,15 Chandra Badavane Dwarka Nagar 1st Main Vijay Nagar Bangalore,Biryani, Fast Food, , , , , , 
Brik Oven,Church Street,19 Church Street Bangalore,Pizza, Italian, Cafe, Beverages, , , , 
